"Rank","Tier","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"214","undefined","","Phillip Dorsett","NE","WR83","10","181","253","222.3","28.5","250.0","+36.0"
"215","undefined","","Harrison Butker","KC","K2","12","163","183","173.0","10.0","142.0","-73.0"
"216","undefined","","Willie Snead","BAL","WR84","8","175","262","209.0","38.0","280.0","+64.0"
"217","undefined","","Adam Humphries","TEN","WR85","11","189","228","209.0","15.9","180.0","-37.0"
"218","undefined","","Stephen Gostkowski","NE","K3","10","171","179","175.0","4.0","158.0","-60.0"
"219","undefined","","Justin Tucker","BAL","K4","8","159","192","175.5","16.5","127.0","-92.0"
"220","undefined","","Buffalo (BUF)","","DST8","6","146","207","176.5","30.5","207.0","-13.0"
"221","undefined","","Kareem Hunt","CLE ","RB72","7","190","225","211.7","15.5","110.0","-111.0"
"222","undefined","","Jason Witten","DAL","TE27","8","194","232","211.7","15.6","192.0","-30.0"
"223","undefined","","Vernon Davis","WAS","TE28","10","197","236","215.3","16.0","358.0","+135.0"
"224","undefined","","Damien Harris","NE","RB73","10","166","264","216.3","40.1","164.0","-60.0"
"225","undefined","","Baltimore (BAL)","","DST9","8","176","204","190.0","14.0","144.0","-81.0"
"226","undefined","","Michael Crabtree","ARI","WR86","12","206","237","219.7","12.9","325.0","+99.0"
"227","undefined","","Hunter Renfrow","OAK","WR87","6","200","248","220.7","20.2","259.0","+32.0"
"228","undefined","","Wil Lutz","NO","K5","9","181","204","192.5","11.5","155.0","-73.0"
"229","undefined","","DeAndre Washington","OAK","RB74","6","170","247","221.0","36.1","536.0","+307.0"
"230","undefined","","Jordan Wilkins","IND","RB75","6","207","260","235.3","24.4","480.0","+250.0"
"231","undefined","","Geoff Swaim","JAC","TE29","10","205","268","235.5","26.6","360.0","+129.0"
"232","undefined","","Marcus Mariota","TEN","QB27","11","167","277","221.7","44.9","213.0","-19.0"
"233","undefined","","Houston (HOU)","","DST10","10","188","200","194.0","6.0","176.0","-57.0"
"234","undefined","","Travis Benjamin","LAC","WR88","12","207","338","251.3","51.1","320.0","+86.0"
"235","undefined","","Denver (DEN)","","DST11","10","142","248","195.0","53.0","161.0","-74.0"
"236","undefined","","New Orleans (NO)","","DST12","9","179","219","199.0","20.0","166.0","-70.0"
"237","undefined","","DaeSean Hamilton","DEN","WR89","10","202","263","226.3","26.4","216.0","-21.0"
"238","undefined","","Philadelphia (PHI)","","DST13","10","183","225","204.0","21.0","162.0","-76.0"
"239","undefined","","Ka'imi Fairbairn","HOU","K6","10","190","218","204.0","14.0","173.0","-66.0"
"240","undefined","","Cameron Brate","TB","TE30","7","191","270","229.3","32.3","323.0","+83.0"
"241","undefined","","C.J. Uzomah","CIN","TE31","9","183","299","237.0","47.7","337.0","+96.0"
"242","undefined","","Tennessee (TEN)","","DST14","11","207","211","209.0","2.0","219.0","-23.0"
"243","undefined","","Dallas (DAL)","","DST15","8","201","218","209.5","8.5","170.0","-73.0"
"244","undefined","","T.J. Yeldon","BUF","RB76","6","209","256","232.3","19.2","243.0","-1.0"
"245","undefined","","Cody Latimer","NYG","WR90","11","201","341","253.3","62.4","1,031.0","+786.0"
"246","undefined","","Seattle (SEA)","","DST16","11","186","234","210.0","24.0","178.0","-68.0"
"247","undefined","","Mason Crosby","GB","K7","11","198","224","211.0","13.0","206.0","-41.0"
"248","undefined","","Hayden Hurst","BAL","TE32","8","172","329","250.7","64.1","412.0","+164.0"
"249","undefined","","Gerald Everett","LAR","TE33","9","218","260","235.3","17.9","266.0","+17.0"
"250","undefined","","Jake Elliott","PHI","K8","10","202","228","215.0","13.0","201.0","-49.0"
"251","undefined","","Matt Bryant","ATL","K9","9","211","221","216.0","5.0","228.0","-23.0"
"252","undefined","","Mike Gesicki","MIA","TE34","5","203","267","236.7","26.2","251.0","-1.0"
"253","undefined","","Joe Flacco","DEN","QB28","10","202","232","217.0","15.0","223.0","-30.0"
"254","undefined","","Jeff Wilson","SF","RB77","4","158","158","158.0","0.0","661.0","+407.0"
"255","undefined","","Matt Prater","DET","K10","5","215","221","218.0","3.0","214.0","-41.0"
"256","undefined","","Taylor Gabriel","CHI","WR91","6","229","250","239.3","8.6","247.0","-9.0"
"257","undefined","","Dontrell Hilliard","CLE","RB78","7","208","262","242.3","24.4","297.0","+40.0"
"258","undefined","","Zay Jones","BUF","WR92","6","233","255","243.7","9.0","240.0","-18.0"
"259","undefined","","Green Bay (GB)","","DST17","11","213","243","228.0","15.0","218.0","-41.0"
"260","undefined","","Brett Maher","DAL","K11","8","206","251","228.5","22.5","190.0","-70.0"
"261","undefined","","New York (NYJ)","","DST18","4","194","266","230.0","36.0","233.0","-28.0"
"262","undefined","","Tyler Higbee","LAR","TE35","9","222","258","246.0","17.0","330.0","+68.0"
"263","undefined","","Matt LaCosse","NE","TE36","10","195","294","251.3","41.6","289.0","+26.0"
"264","undefined","","Michael Badgley","LAC","K12","12","222","239","230.5","8.5","182.0","-82.0"
"265","undefined","","D'Ernest Johnson","CLE","RB79","7","217","289","250.0","29.7","",""
"266","undefined","","Benny Snell Jr.","PIT","RB80","7","229","266","246.7","15.2","304.0","+38.0"
"267","undefined","","Demaryius Thomas","NYJ","WR93","4","222","241","231.5","9.5","208.0","-59.0"
"268","undefined","","Gardner Minshew","JAC","QB29","10","224","241","232.5","8.5","636.0","+368.0"
"269","undefined","","Andy Isabella","ARI","WR94","12","231","236","233.5","2.5","246.0","-23.0"
"270","undefined","","Diontae Johnson","PIT","WR95","7","189","290","239.5","50.5","422.0","+152.0"
"271","undefined","","Devin Smith","DAL","WR96","8","190","190","190.0","0.0","545.0","+274.0"
"272","undefined","","J.J. Arcega-Whiteside","PHI","WR97","10","201","269","235.0","34.0","261.0","-11.0"
"273","undefined","","Kaare Vedvik","FA","K13","","193","193","193.0","0.0","393.0","+120.0"
"274","undefined","","Robbie Gould","SF","K14","4","219","252","235.5","16.5","181.0","-93.0"
"275","undefined","","Josh Reynolds","LAR","WR98","9","232","240","236.0","4.0","385.0","+110.0"
"276","undefined","","Washington (WAS)","","DST19","10","199","325","262.0","63.0","255.0","-21.0"
"277","undefined","","Jason Myers","SEA","K15","11","233","245","239.0","6.0","200.0","-77.0"
"278","undefined","","Alex Armah","CAR","RB81","7","204","204","204.0","0.0","801.0","+523.0"
"279","undefined","","Brian Hill","ATL","RB82","9","222","280","254.3","24.1","331.0","+52.0"
"280","undefined","","Case Keenum","WAS","QB30","10","231","254","242.5","11.5","318.0","+38.0"
"281","undefined","","Isaiah McKenzie","BUF","WR99","6","209","209","209.0","0.0","470.0","+189.0"
"282","undefined","","David Moore","SEA","WR100","11","226","261","243.5","17.5","285.0","+3.0"
"283","undefined","","Bennie Fowler","NYG","WR101","11","210","210","210.0","0.0","951.0","+668.0"
"284","undefined","","Breshad Perriman","TB","WR102","7","210","324","267.0","57.0","333.0","+49.0"
